recipe,title_length,recipe_length,ingredients_length,recipe_freq_word,number_of_ingredient,class
Grenadins de veau à la sauge et aux mojettes de Vendée,11,60,24,faire,9,Plat principal
Joue de boeuf aux oignons,5,46,18,oignon,7,Plat principal
Boeuf des îles par Julia,5,59,35,petit,10,Plat principal
Délicieux cake choco noisettes,4,54,30,faire,10,Dessert
Nectarines au sabayon framboisé,4,84,19,petit,7,Dessert
Tarte de Noël aux fruits secs,6,45,36,tarte,13,Dessert
Gratin de tomate et courgette,5,50,20,courgette,7,Plat principal
Tartelette au chèvre sur compotée d'oignons,6,77,24,tomate,9,Entrée
Sauté de poulet au cidre parfumé au thym et sa purée aux 2 pommes,14,123,38,pomme,10,Plat principal
Mille-feuilles de pommes de terre au chèvre,7,42,12,pomme,5,Entrée
Délicieux pudding au rhum et aux raisins secs,8,49,23,raisin,8,Dessert
Cabillaud en Ravigote,3,102,43,casserole,15,Plat principal
Délice de filet mignon aux échalotes et vinaigre balsamique,9,74,27,ajouter,9,Plat principal
Gratin de poireaux moelleux,4,58,17,poireau,8,Plat principal
Jésus de Morteau à la vigneronne,6,36,23,eau,9,Plat principal
Boeuf façon Bashu (poivrons et sauce soja),7,131,31,poivron,10,Plat principal
Flan coco délicieux,3,50,26,blanc,7,Dessert
Quiche au vert de blette et féta,7,39,29,faire,9,Entrée
Petits flans à la lavande sur lit de fruits rouges,10,91,41,lait,11,Dessert
Gâteau fondant choco-noisette,3,39,27,faire,8,Dessert
Le Velouté d'endives à la crème,6,41,13,endive,6,Entrée
Poulet au curry et poivron,5,29,18,oignon,7,Plat principal
Risotto aux trois champignons,4,84,44,ajouter,14,Plat principal
Turban d'avocat,2,83,40,gélatine,10,Entrée
"Arancine, de Marie de Maldormir",5,131,38,riz,10,Plat principal
Chich taouk simplifié (Liban),4,28,21,couper,7,Plat principal
Boeuf bourguignon très moelleux,4,127,39,couper,11,Plat principal
La tatin charlotte à la pêche,6,121,17,pâte,6,Dessert
Poitrine de veau aux épices et aux abricots,8,87,48,min,14,Plat principal
Pain d'anis  (Alsace),3,36,12,mélanger,5,Dessert
Cuddureddi (beignets italiens),3,61,18,faire,7,Dessert
Kougelhopf salé (Alsace),3,90,33,pâte,9,Entrée
Gâteau marbré aux pépites de chocolat,6,68,37,pâte,13,Dessert
Coquilles feuilletées de St jacques aux poireaux,7,65,29,mettre,9,Entrée
Clafoutis de pommes de terre au chèvre cendré,8,90,35,pâte,11,Plat principal
Caponata,1,60,36,minute,12,Entrée
Pain brioché aux fines herbes et au cumin,8,69,42,faire,12,Entrée
"Pizza diététique au jambon (oui, c'est possible) de Lilly",9,133,31,tomate,9,Plat principal
Pennes à la crème de pesto et tomate,8,60,24,oignon,8,Plat principal
Gratin de macaronis à la provençale,6,95,41,faire,15,Plat principal
Pots de crème saveur Tchaï,5,64,41,agar,12,Dessert
Bananes au citron vert,4,39,15,frais,6,Dessert
Epaule d'Agneau Marocaine,3,59,21,four,9,Plat principal
Marmelade de citrons,3,56,20,eau,5,Dessert
Tarte aux châtaignes et aux poires,6,47,27,tarte,11,Entrée
Soupe au chou épicée,4,33,24,intégrer,9,Entrée
Terrine de pommes de terre aux cèpes,7,110,41,crème,14,Plat principal
Hermann,1,178,52,jour,16,Dessert
Gâteau aux noix et clémentines,5,94,62,sec,19,Dessert
Petites crèmes au chocolat sur lit de fruits,8,62,30,fruit,6,Dessert
Sauté de poulet à l'ananas,5,77,36,ananas,12,Plat principal
Quiche au thon pimentée,4,59,32,couper,12,Entrée
Tomates au thon suisse,4,69,18,tomate,7,Entrée
Flétan rôti farci au pistou et amandes grillées,8,119,38,poisson,11,Plat principal
Cuisse de dinde à l'andouillette,5,63,21,arroser,8,Plat principal
Muffins à la confiture (de ce qu'on veut),8,40,17,faire,7,Dessert
Pasteis de nata (petits flans portugais),6,117,42,pâte,15,Dessert
Beurek (spécialité arménienne),3,47,22,pâte,6,Entrée
Poulet au curry et ses tagliatelles de courgette,8,78,47,poulet,18,Plat principal
Délicieuse tarte feuilletée au chèvre,5,96,21,four,7,Plat principal
Beignets de carnaval de Micheline,5,65,34,pâte,11,Dessert
Salade poulet parmesan,3,41,24,salade,6,Plat principal
Panna cotta café annis illusion batna,6,63,23,faire,8,Dessert
Croustichoc ( croustillant au chocolat ),6,96,9,plaque,5,Dessert
Clafoutis de courgettes aux copeaux de parme,7,87,37,courgette,9,Plat principal
Fondant aux fruits léger,4,60,29,jus,7,Dessert
Filet mignon de porc au vinaigre balsamique,7,64,44,porc,13,Plat principal
Escalopes de veau au Maroilles et à la Kriek,9,35,22,escalope,6,Plat principal
Tourte à la viande et aux légumes,7,113,30,lardon,11,Plat principal
Salade de penne de la romaine,6,80,36,ajouter,9,Plat principal
Pâté mexicain,2,45,53,1,12,Plat principal
Brochettes de poulet marinées au sésame,6,62,39,poulet,10,Plat principal
Tarte aux bettes et à la brousse,7,66,15,bette,6,Entrée
Tarte aux chipolatas,3,58,29,faites,10,Plat principal
Casserole de viandes hachées aux poireaux,6,75,41,pomme,11,Plat principal
Poulet en cocotte minute au curry et ses légumes,9,50,39,poulet,14,Plat principal
Salade odile à ma façon,5,50,22,coquille,9,Entrée
Gombos-tomates,1,52,28,ajouter,10,Plat principal
Oeufs à la crème au maroilles et ciboulette,8,51,20,petit,7,Entrée
Pétoncles au curry et ses petits lardons,7,79,27,ajouter,8,Entrée
Gâteau à l'ananas rapide,4,74,24,gâteau,7,Dessert
Pudding pain chocolat,3,33,20,pain,7,Dessert
La flognarde aux pommes (ou autres fruits),7,44,22,clafoutis,7,Dessert
Pielmienis sibériens (raviolis),3,66,30,pâte,13,Plat principal
Gâteau poire caramel (Entremet),4,255,49,faire,18,Dessert
Papillote aux deux poissons,4,132,43,poisson,11,Plat principal
Gâteau chocolat légèrement marbré,4,115,33,four,11,Dessert
Tartines de ch'Nord,3,72,33,tartine,7,Plat principal
Melloukhia (Liban - Egypte),4,100,42,melloukhia,13,Plat principal
Le Broyé du Poitou sans oeuf - Recette de grand-mère,10,49,21,four,6,Dessert
Tarte Sacher,2,97,44,chocolat,12,Dessert
Tarte au fromage de Marisé,5,54,34,battre,9,Dessert
Feuilletés d'asperges au jambon cru,5,118,44,pâte,14,Entrée
Lasagnes d'aubergines au jambon,4,75,25,couche,9,Plat principal
Pain aux fruits secs,4,103,73,minute,17,Dessert
Tarte à la ratatouille et pignons,6,55,27,tarte,6,Entrée
Tartelettes chocolat blanc framboise,4,101,19,framboise,7,Dessert
Rôti de dinde au curry,5,44,26,ajouter,7,Plat principal
Purée de Potimarron façon grand-mère,5,71,25,potimarron,9,Plat principal
Mousse glacée à la pâte à tartiner au chocolat,9,38,12,gramme,4,Dessert
Cocktail de Crevettes,3,60,24,mettre,9,Entrée
Verrines avocat saumon tomates,4,44,34,verrine,9,Entrée
Thon sauce coco sur lit de roquette,7,104,34,steak,8,Plat principal
Poulet poivron amandes,3,32,18,faire,6,Plat principal
Gratin de fruits de mer,5,52,28,faites,10,Plat principal
Boeuf à la mode (braisé),5,64,36,couper,11,Plat principal
Dessert au potiron,3,39,23,faire,7,Dessert
"Tarte épinards, abricots et noix",5,79,38,noix,13,Plat principal
Panga à la moutarde sur fondue de poireau,8,92,35,poireau,11,Plat principal
Poulet à la moutarde et à l'estragon,7,37,32,cocotte,9,Plat principal
Sablés vanille-cacao,2,78,22,terrine,6,Dessert
Poulet rôti aux herbes et chorizo,6,62,21,poulet,7,Plat principal
"Tarte courgettes, tomates, feta",4,87,29,courgette,8,Plat principal
Roulés d'aubergine,2,72,27,aubergine,10,Plat principal
Glace à l'abricot,3,27,22,abricot,7,Dessert
Escalopes de poulet gratinées au jambon,6,57,34,faire,13,Plat principal
Tarte à la ratatouille et au chorizo,7,73,19,faire,7,Entrée
Involtini (roulés) crevettes saumon fumé et courgettes,7,75,18,tailler,10,Entrée
Palette de porc fumée au four,6,51,39,four,11,Plat principal
Tartare avocat tomate,3,64,38,frais,12,Entrée
Tarte chocolat orange,3,129,36,crème,12,Dessert
Fromage blanc créole,3,17,25,mixer,7,Dessert
"Bûche aux épices, noisettes et chantilly à la confiture de lait",11,150,51,papier,15,Dessert
Salade rustique sucré-salé,3,22,17,lardon,9,Entrée
Tarte Comtoise d'LN,3,66,28,tranche,9,Plat principal
Tarte aux amandes et aux bananes,6,60,29,tarte,9,Dessert
Verrines orange chocolat,3,62,26,orange,7,Dessert
"Quiche chaource, jambon, bacon",4,43,27,175,10,Entrée
Roulés de dinde au roquefort,5,41,28,bien,7,Plat principal
Escalope de veau au piment d'espelette,6,41,25,escalope,7,Plat principal
Quiche aux épinards et saucisses,5,67,28,épinard,9,Plat principal
Biscottes aux bananes,3,42,13,rondelle,6,Dessert
Cannellonis mascarpone et parmesan,4,86,34,tomate,12,Plat principal
Velouté aux poivrons et au boursin,6,23,23,minute,6,Entrée
Poulet aux olives et au citron,6,51,28,cocotte,9,Plat principal
Moelleuse pâte sablée aux amandes,5,70,16,ajouter,6,Dessert
Crevettes citronnées à la crème et flambées,7,85,35,faire,11,Plat principal
Moelleux coco,2,129,44,four,11,Dessert
Pain de poisson au saumon et surimi,7,56,35,cuir,10,Entrée
"Flan de banane très léger et facile ( sans oeuf, sans lait)",12,81,17,citron,6,Dessert
Saumon au four sur légumes râpés,6,62,18,four,6,Plat principal
Pundu na madesu,3,90,48,poisson,13,Plat principal
"Salade d'été au saumon fumé, feta, pommes et carottes",9,82,42,détailler,13,Entrée
Pain d'hachis accompagné de pommes frites,6,41,28,four,10,Plat principal
Parmentier du soleil,3,97,34,purée,13,Plat principal
Papillote de saumon et gambas,5,54,22,veille,9,Plat principal
Dinde au curry et à l'ananas,6,112,27,mettre,7,Plat principal
Gratin de riz au lait,5,73,22,riz,6,Plat principal
Champignons farcis de Sandrine,4,60,17,champignon,6,Plat principal
"Charlotte au chocolat, caramel et noisette",6,92,22,chocolat,7,Dessert
Roulé de carotte tartare,4,39,11,carotte,4,Entrée
Endive au jambon dans sa feuille de brick,8,51,14,endive,7,Plat principal
Mille feuille de loup de Mer et son pesto,9,82,27,réaliser,13,Plat principal
DARNES DE SAUMON AU VIN BLANC,6,109,28,beurre,11,Plat principal
Lentilles à la vinaigrette moutardée et au museau,8,39,45,lentille,12,Entrée
Brioche à la crème pour Machine à pain,8,38,34,pain,9,Dessert
Morue aux pommes de terre et sauce blanche,8,82,20,faire,6,Plat principal
Salade de poulpe marseillaise,4,28,16,laurier,6,Entrée
Velouté de laitue aux noisettes,5,33,21,min,8,Entrée
Rôti haché très simple,4,35,20,four,8,Plat principal
Petits fondants au chocolat coeur praliné,6,162,29,fondre,9,Dessert
Millasson,1,28,14,ajouter,6,Dessert
Compote de fruits aux marrons,5,60,10,ajouter,5,Dessert
Tarte aux pommes Jean-René,4,267,37,pâte,11,Dessert
Papillotes de saumon,3,60,14,poireau,6,Plat principal
Paté de foie de volaille facile et rapide,8,49,20,vin,6,Entrée
Salade du pêcheur,3,39,35,moitié,17,Entrée
Scampis au curry et poireaux,5,88,35,curry,13,Plat principal
Pudding au chocolat-noisettes,3,38,18,brioche,7,Dessert
Bouillon de crabe mauricien (Ile Maurice),6,41,28,bien,7,Entrée
Blancs de poulet farcis au Pont-L’Évêque,6,76,16,fromage,6,Plat principal
Tarte fête de la couleur,5,120,30,faire,10,Plat principal
Tarte d'automne,2,29,19,pâte,7,Dessert
Pissaladière niçoise,2,113,36,mettre,10,Entrée
Encornets farcis à la provençale,5,71,36,encornet,11,Plat principal
Cake au Yaourt et à la Verveine,7,63,25,minute,9,Dessert
Couronne des rois à la frangipane Danitou,7,74,28,cm,8,Dessert
Soupe de blettes,3,39,28,blette,9,Entrée
Charlotte chocolat orange,3,121,26,chocolat,8,Dessert
Salade de Penne aux légumes du sud,7,87,41,faire,16,Entrée
Tarte poulet courgette,3,43,28,poulet,9,Plat principal
Muffins carottes - cannelle faciles,5,65,23,blanc,9,Dessert
Gratin de chou-fleur,3,53,17,ajouter,7,Plat principal
Barquettes de concombres aux crevettes,5,43,20,yaourt,9,Entrée
Cannellonis à la Francesco,4,132,44,mozzarella,14,Plat principal
Salade merveilleuse à l'avocat,4,28,28,couper,9,Entrée
Civet de lapin du nord,5,125,32,faire,12,Plat principal
Petits biscuits diététiques,3,117,36,ajouter,10,Dessert
Castel ( gâteau praliné et amande ),7,167,34,sucre,16,Dessert
Hachis parmentier aux brocolis,4,91,25,faire,9,Plat principal
Salade fraicheur de concombre sauce au carré frais,8,61,27,mélanger,8,Entrée
Confiture à l'ananas et aux abricot,6,58,15,sucre,6,Dessert
Poulet aux châtaignes et aux olives,6,61,22,olive,8,Plat principal
Crumble aux mangues,3,86,36,mangue,13,Dessert
Pâte ultra-rapide pour tartes salées,5,37,21,petit,5,Entrée
Queue de langouste à l'armoricaine,5,88,49,sauce,18,Plat principal
Poivron farci aux moules,4,61,20,crème,7,Plat principal
Chausson munster et bacon,4,89,27,pâte,8,Plat principal
Verrines au caramel,3,52,19,faire,6,Dessert
Ailes de poulet au miel et au sésame,8,60,54,aile,10,Plat principal
Petits gâteaux aux blancs d'oeuf (Restes de blanc d'oeuf),9,58,29,blanc,5,Dessert
Tortellinis aux épinards et gorgonzola,5,96,47,champignon,13,Plat principal
Soupe au choux de Bruxelles,5,52,21,min,7,Entrée
Terrine fondante aux biscuits rose de Reims,7,56,24,poudre,7,Dessert
Sorbet au cidre de Normandie,5,39,20,versez,7,Dessert
Cake aux tomates séchées et aux câpres,7,54,39,ajouter,10,Entrée
Salade de pâtes aux crevettes,5,48,27,pâte,10,Entrée
Caramel au beurre salé inratable,5,51,23,mélanger,5,Dessert
Soufflé au poulet et moutarde à l'estragon,7,101,29,ajouter,10,Plat principal
Salade de chou chinois,4,29,19,couper,7,Entrée
"Saumon mariné sauce soja, gingembre avocat",6,100,39,saumon,11,Entrée
Salade fraîcheur de moules aux crevettes,6,49,31,moule,10,Entrée
Salade de brocolis,3,42,25,brocoli,9,Entrée
Gâteau fondant coco-citron nappage caramel,5,85,62,caramel,14,Entrée
Salade de grosses crevettes à la vanille,7,42,33,sauc,9,Entrée
Soupe de cocos plats à ma façon,7,42,44,marmite,10,Entrée
"Risotto dattes, poivron, courgette",4,86,34,ajouter,9,Plat principal
Le Gargouillot (clafouti d'antan...),4,79,28,pâte,10,Dessert
Surprise soufflée au fromage,4,73,14,pâte,5,Plat principal
GRATIN DE POIRES AU ROQUEFORT,5,87,28,poire,10,Plat principal
Cuisses de poulet aux pêches,5,114,28,marinade,8,Plat principal
Truffe géante de la mère Anne,6,55,16,faire,6,Dessert
Ponchki (Pologne),2,43,38,bien,9,Dessert
Yaourt maison (avec une yaourtière),5,43,12,fruit,4,Dessert
Mirabelles chaudes à la crème,5,34,20,mirabelle,5,Dessert
"Verrine 3 couleurs : Avocat, Saumon, Cream Cheese",8,37,24,couche,7,Entrée
Chou au gratin,3,41,14,bouillon,5,Plat principal
Courgettes pimentées au poulet,4,59,16,couper,9,Plat principal
Croquettes aux anchois,3,161,31,bien,11,Entrée
Fondue all'italiano,2,66,44,brocoli,14,Plat principal
Gâteau banane et caramel,4,55,34,verser,8,Dessert
Merveilleux mille-feuilles à la mangue,5,114,39,feuille,12,Dessert
Poffertjes (Hollande),2,64,19,farine,5,Dessert
"Gratin de poireaux, oignons frais et Jambon rouge",8,76,25,mélanger,10,Plat principal
Chakchouka,1,66,24,couper,9,Plat principal
Riz au lait de ma grand-mère à la cannelle,9,35,20,faire,6,Dessert
Vol-au-vent de lapin,3,73,33,faire,10,Plat principal
"Magrets de canard aux poires, sauce poivrade",7,68,32,faire,12,Plat principal
Bananes flambées,2,92,37,banane,9,Dessert
Cardons gratinés aux anchois,4,120,38,cocotte,13,Plat principal
Tagliatelles aux noix de St Jacques et épinards,8,60,21,sauce,9,Plat principal
Steak tartare,2,67,52,viande,12,Plat principal
Pain perdu aux framboises,4,36,27,faites,9,Dessert
"Salade rafraîchissante aux endives, pommes et noix",7,58,37,endive,10,Plat principal
Terrine de volaille à l'autocuiseur,5,106,40,terrine,12,Entrée
Riz colonial,2,66,42,faire,23,Plat principal
Crumble gourmand au pralin et sa compotée pommes-fraises-bananes,8,118,46,ajouter,15,Dessert
Sauté de lapin à l'ail,5,33,34,ajouter,10,Plat principal
Pâté chinois (Canada),3,49,16,plat,6,Plat principal
Terrine de Saint-Jacques au calvados,5,94,48,couche,15,Entrée
Soupe de potiron au lait de soja et au curry,10,28,18,faire,6,Entrée
"Meli-melo vitaminé de Mymy (carottes, avocats, kiwis)",7,79,47,avocat,13,Entrée
Tarte aux légumes et bacon,5,70,44,couper,12,Entrée
Pain de poisson (lieu jaune et saumon),7,62,21,faire,8,Entrée
Framboises meringuées aux spéculos,4,36,15,framboise,6,Dessert
Salade de Boeuf Piquante Thaï,5,80,44,boeuf,12,Entrée
Glace à la pêche,4,33,19,sucre,7,Dessert
Gigot d'agneau bravade au four,5,72,30,gigot,11,Plat principal
Petits ramequins Chocolat - Pistache,5,69,36,mettre,8,Dessert
Courgettes farcies au saumon,4,48,36,sel,11,Plat principal
Tarte à l'érable et noix de pacanes,7,99,34,minute,7,Dessert
Croustillants épicés aux merguez,4,58,16,farce,8,Plat principal
Terrine de campagne maison,4,106,41,terrine,15,Entrée
"Terrine de légumes (carotte, courgette, brocoli)",6,65,16,crème,8,Entrée
Gratin de pommes de terre en béchamel,7,51,28,faire,10,Plat principal
Blanc de poulet au boursin,5,44,13,faire,4,Plat principal
Salade mediteranéenne,2,37,17,ajouter,8,Entrée
Soupe de melon glacée à la menthe fraîche,8,43,18,quartier,6,Dessert
Curry de knackis au blé,5,92,31,cuillère,12,Plat principal
Velouté courgette aubergine,3,26,24,peler,8,Entrée
Riz de la mer,4,94,36,riz,11,Plat principal
Galette bretonne à la confiture,5,103,25,pâte,8,Dessert
"Clafoutis mozzarella, Parme et basilic",5,52,31,farine,10,Plat principal
"Faux risotto saumon, thon, fenouil express",6,72,22,temps,8,Plat principal
Brick au chocolat et aux noix,6,88,40,feuille,10,Dessert
Chèvre chaud sur lit tiède de poivron,7,74,35,poivron,10,Plat principal
Poulet à la corbaraise,4,42,21,faire,7,Plat principal
Salade tropicale royale,3,32,41,laver,13,Plat principal
Foie gras au micro-onde et son croustillant d'été,8,217,51,foie,17,Entrée
Tartines fromagères à la raclette,5,31,19,tartine,5,Entrée
Papillote de saumon,3,26,12,mettre,6,Plat principal
Saumon au thé noir et au miel,7,45,6,thé,4,Plat principal
Gaufres molles à conserver,4,35,28,ensuite,8,Dessert
Milk shake banane choco,4,21,17,mettre,5,Dessert
Sandwich poulet curry citron,4,121,38,viande,13,Plat principal
Gateau léger citron kiwi,4,138,37,faire,11,Dessert
Cake abricot-miel,2,46,34,blanc,12,Dessert
Porc à la brésilienne,4,76,41,ajouter,16,Plat principal
Poulet aux calamars,3,63,27,poulet,8,Plat principal
Sauté de homard au vin jaune et aux morilles,9,136,46,morille,14,Plat principal
Poulet à l'africaine rapide,4,29,24,beurre,8,Plat principal
Poireautée poétique de chez Oun,5,59,33,minute,11,Plat principal
Poulpes à la Galicienne,4,84,22,faire,9,Plat principal
"Pommes de terre écrasées au poireau, fromage de chèvre et chorizo",11,111,24,chorizo,9,Plat principal
Tarte aux courgettes râpées,4,49,14,four,8,Entrée
Champignons farcis aux escargots et au beurre d'ail,8,67,25,four,10,Entrée
Tourte pyrénéenne (la vraie),4,24,30,sucre,13,Dessert
Gâteaux secs à la crème de lait,7,28,16,four,6,Dessert
Citrons farcis aux poissons,4,61,32,thon,11,Entrée
Crevettes à la mexicaine,4,42,16,crevette,7,Entrée
Rillettes de poisson Mamayot,4,45,36,2,10,Entrée
Pâtes chinoises,2,68,29,temps,9,Plat principal
Entremet bonheur,2,103,29,génoise,8,Dessert
Tartines surprises à la pancetta et garniture d'automne,8,86,20,petit,7,Plat principal
Le gâteau forestier,3,36,22,pomme,7,Plat principal
Galette Alsacienne,2,72,20,pâte,7,Dessert
SELLE D'AGNEAU EN CROUTE D'HERBES,5,171,45,four,16,Plat principal
Croustade de cèpes au foie gras poêlé,7,120,21,cèpe,7,Plat principal
Velouté de légumes variés,4,45,35,mixer,12,Entrée
Petits feuilletés amande - sirop d'érable,6,63,22,délayer,8,Dessert
Soupe de tomates à l'orange,5,56,18,rajouter,7,Entrée
Gratin de pomme meringué,4,43,14,pomme,6,Dessert
Brioche à la fleur d'oranger,5,78,35,2,9,Dessert
Tarte aux pommes suisse,4,48,20,fouetter,8,Dessert
Fondue vigneronne au vin rouge,5,87,33,vin,13,Plat principal
Salade de poulet toute simple (restes de poulet),8,32,31,poulet,9,Plat principal
Volaille aux endives et au curry,6,61,15,endive,6,Plat principal
Le rôti de boeuf en croûte de la belle Hélène,10,80,24,pâte,6,Plat principal
Jambon à la russe,4,55,22,four,6,Plat principal
Bruschetta de viande hachée pesto et comté,7,145,23,pain,8,Plat principal
Cheesecake au citron vert (sans cuisson),6,107,32,crème,10,Dessert
Terrine de pommes de terre et thon à la tomate,10,116,18,pomme,7,Plat principal
Gratin de filets de soles aux crevettes,7,60,29,laisser,10,Plat principal
Poulet à la crème provençale,5,68,32,faire,11,Plat principal
Gratin de pommes de terre et tomates à la ricotta,10,66,19,couper,8,Plat principal
Cookies noix nobles et pépites de chocolat,7,80,42,mélanger,12,Dessert
Velouté de marrons et céleri,5,37,15,marron,7,Entrée
"Charlotte mascarpone, poire et son coulis de chocolat",8,108,26,poire,9,Dessert
Gratin de pâtes au saumon fumé,6,57,22,ajouter,7,Plat principal
Tresse du dimanche,3,134,26,minute,8,Dessert
Bricks au chèvre chaud,4,63,28,2,8,Entrée
Goulash de porc à la crème,6,57,45,ajouter,12,Plat principal
Porc au lait de coco (Tahiti),6,67,38,ail,12,Plat principal
"Carpaccio de courgettes, tomates et feta",6,90,30,feta,10,Entrée
Gratin de pennes aux champignons et à la crème,9,95,29,feu,8,Plat principal
Gâteau à l'huile d'olive d'Hélène,5,58,25,four,8,Dessert
Beignets chinois à la vapeur ( dim sum ) de Kenzo,11,112,58,pâte,13,Entrée
Poivrons aux anchois,3,110,20,bien,8,Entrée
Riz sauté au crevettes et petits pois,7,49,16,sauce,7,Plat principal
Dinde ou poulet au miel,5,38,30,cuir,8,Plat principal
Bûche aux framboises,3,145,48,génoise,16,Dessert
Mousse au chocolat liégeois,4,38,16,chocolat,5,Dessert
Travers de porc à la Dahn,6,7,20,macérer,6,Plat principal
Terrine de saumon facile,4,40,26,saumon,8,Entrée
Curry de viande hachée aux petits pois,7,91,59,minute,14,Plat principal
Tarte Provençale à la sardine,5,58,32,disposer,11,Plat principal
Tarte légère aux épinards et au chèvre,7,50,15,feuille,5,Plat principal
Galettes légères pommes de terre et chèvre,7,74,25,pomme,7,Plat principal
Le gâteau des amoureux (base de gâteau inratable),8,226,19,chocolat,7,Dessert
Gâteau choco-banane façon Alice,4,66,20,gâteau,8,Dessert
"Pain de viande, sauce à la bière brune",8,92,59,pain,22,Plat principal
Soupe épicée à l'orange,4,28,16,infuser,7,Dessert
Escalopes de dinde marinées à l'indienne,6,57,55,escalope,17,Plat principal
"SAUMON AU MAROILLES ET AU THYM, SAUCE MOUTARDE",8,142,42,pavé,12,Plat principal
Crème renversée au miel,4,54,18,miel,7,Dessert
Gâteau de crêpes au chocolat,5,144,35,ganache,12,Dessert
Béchamel au chocolat,3,29,13,faire,5,Dessert
Bananes et poires rôties au lait de coco,8,48,20,feu,6,Dessert
Gâteau ananas-coco,2,97,30,mélanger,10,Dessert
Gâteau au chocolat suprême,4,148,70,mettre,23,Dessert
Gâteau à l'orange et abricots secs,6,55,39,four,11,Dessert
Papillote de poulet au picodon et vin blanc,8,82,26,filet,10,Plat principal
Salade de pâtes au melon et jambon cru,8,73,27,pâte,8,Entrée
Pâtisson farci saucisse merguez,4,61,30,pâtisson,10,Plat principal
Fèves tendres en clafoutis,4,44,22,faire,8,Plat principal
Filet de poulet compagnard,4,66,25,petit,8,Plat principal
Beignets de camembert,3,57,26,mettre,11,Entrée
Mousse de saumon,3,117,48,moule,14,Entrée
Francesinha originale (Portugal),3,91,68,ajouter,21,Plat principal
"Porc quatre épices, carottes confites au cumin et pommes au citron et gingembre",13,59,40,feu,11,Plat principal
Congre au vin rouge et au lard,7,80,34,poisson,10,Plat principal
Véritables raviolis japonais de A à Z (Gyoza),8,214,81,eau,17,Entrée
Chipirons à la basquaise,4,83,40,ail,12,Plat principal
Feuilletés à l'orange (13ème rencontre),5,138,50,sucre,12,Dessert
Causa rellena au thon,4,96,30,couche,10,Entrée
Oeufs sur le canapé,4,66,17,tranche,6,Entrée
Muffins à la rhubarbe moelleux,5,87,30,sucre,11,Dessert
Tomates farcies au poulet à l'aigre douce,7,69,27,tomate,9,Plat principal
Crème anglaise à la réglisse,5,65,23,petit,8,Dessert
Magret de canard à la vapeur coriande et gingembre,9,78,52,coriandre,11,Plat principal
Croquettes plates de poireaux,4,52,24,faites,8,Entrée
Tarte à la mousse coco,5,75,29,coco,9,Dessert
Potage au poulet grec,4,71,24,rajouter,9,Plat principal
Gratin de pâtes aux lardons et poivron doux,8,50,26,faire,9,Plat principal
